year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",62.00,7.00,3.00,0.00,0.00,0.00,4.00,0.00,0.00,487.00,196.00,0.00,0.00,0.00,291.00
2023,7,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",62.00,8.00,6.00,1.00,0.00,0.00,1.00,0.00,0.00,521.00,414.00,40.00,0.00,0.00,67.00
2023,6,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",60.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,226.00,226.00,0.00,0.00,0.00,0.00
2023,5,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",62.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,97.00,0.00,0.00,0.00,0.00
2023,4,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",60.00,6.00,1.00,2.00,0.00,0.00,3.00,0.00,0.00,249.00,57.00,60.00,0.00,0.00,132.00
2023,3,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",62.00,13.00,8.00,3.00,1.00,0.00,1.00,0.00,0.00,519.00,208.00,162.00,78.00,0.00,71.00
2023,2,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",56.00,7.00,3.00,2.00,0.00,0.00,2.00,0.00,0.00,758.00,65.00,269.00,0.00,0.00,424.00
2023,1,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",62.00,14.00,6.00,2.00,0.00,1.00,5.00,4.00,0.00,630.00,178.00,112.00,0.00,49.00,291.00
2022,12,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",62.00,15.00,9.00,3.00,0.00,0.00,3.00,1.00,1.00,814.00,415.00,214.00,0.00,0.00,185.00
2022,11,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",60.00,13.00,10.00,0.00,0.00,0.00,3.00,0.00,2.00,442.00,310.00,0.00,0.00,0.00,132.00
2022,10,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",62.00,7.00,5.00,0.00,0.00,0.00,2.00,0.00,1.00,187.00,136.00,0.00,0.00,0.00,51.00
2022,9,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",90.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,322.00,322.00,0.00,0.00,0.00,0.00
2022,8,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",93.00,5.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,161.00,132.00,0.00,0.00,0.00,29.00
2022,7,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",96.00,10.00,8.00,0.00,0.00,0.00,2.00,0.00,0.00,478.00,399.00,0.00,0.00,0.00,79.00
2022,6,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",103.00,8.00,7.00,0.00,0.00,0.00,1.00,0.00,0.00,360.00,236.00,0.00,0.00,0.00,124.00
2022,5,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",98.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,501.00,501.00,0.00,0.00,0.00,0.00
2022,4,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",90.00,6.00,4.00,2.00,0.00,0.00,0.00,1.00,0.00,202.00,95.00,107.00,0.00,0.00,0.00
2022,3,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",93.00,9.00,7.00,1.00,0.00,0.00,1.00,1.00,0.00,246.00,178.00,35.00,0.00,0.00,33.00
2022,2,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",84.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,639.00,639.00,0.00,0.00,0.00,0.00
2022,1,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",93.00,7.00,7.00,0.00,0.00,0.00,0.00,5.00,2.00,524.00,524.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",93.00,16.00,9.00,7.00,0.00,0.00,0.00,1.00,2.00,1021.00,471.00,550.00,0.00,0.00,0.00
