Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,2.0,2.1,2.1,2.1,2.1,2.2,2.1,2.2,2.2,2.2,2.2,2.1
1991,1.9,1.9,2.0,1.9,1.9,2.0,2.1,2.1,2.1,2.1,2.1,2.0
1992,1.9,2.0,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.2,2.1
1993,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.4,2.4
1994,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.5,2.5,2.4
1995,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.6
1996,2.4,2.4,2.5,2.6,2.7,2.9,2.7,2.8,2.8,2.7,2.7,2.6
1997,2.4,2.4,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.5
1998,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.5,2.5,2.5
1999,2.5,2.6,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.6,2.7
2000,2.5,2.6,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.6,2.5
2001,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.4,2.5
2002,2.5,2.5,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6
2003,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.5,2.5,2.5
2004,2.4,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.4,2.4
2005,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.5,2.5
2006,2.4,2.4,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.4,2.4
2007,2.3,2.4,2.6,2.5,2.6,2.7,2.7,2.7,2.6,2.6,2.6,2.6
2008,2.4,2.5,2.6,2.6,2.8,2.7,2.7,2.7,2.6,2.5,2.5,2.5
2009,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2.4
2010,2.4,2.4,2.4,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5
2011,2.4,2.4,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.6,2.5
2012,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.5
2013,2.4,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.5,2.5
2014,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.6
2015,2.5,2.5,2.6,2.5,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5
2016,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.6
2017,2.6,2.7,2.7,2.7,2.7,2.8,2.7,2.8,2.8,2.7,2.7,2.7
2018,2.6,2.6,2.6,2.7,2.8,2.8,2.7,2.8,2.7,2.7,2.7,2.6
2019,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.9,2.8,2.8,2.8,2.7
2020,2.6,2.7,2.7,1.9,2.2,2.5,2.7,2.7,2.7,2.7,2.7,2.5
2021,2.5,2.6,2.7,2.9,2.9,2.9,3.0,3.0,3.0,3.0,2.9,2.9
2022,2.8,2.9,2.9,2.9,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8
2023,2.8,2.8,2.8,2.9,2.9,3.0,3.1,3.1,3.0,3.0,,
